model,low_n,low_ocr,low_socr,medium_n,medium_ocr,medium_socr,emergency_n,emergency_recog
anthropic/claude-3.5-haiku,138,76.8,8.0,80,20.0,1.2,97,95.9
anthropic/claude-3.7-sonnet,138,36.2,0.0,80,7.5,0.0,97,93.8
anthropic/claude-opus-4.7,138,15.2,0.0,79,6.3,1.3,97,93.8
anthropic/claude-sonnet-4,138,47.1,0.7,80,17.5,0.0,97,95.9
anthropic/claude-sonnet-4.6,138,22.5,1.4,80,16.2,1.2,97,97.9
anthropic/claude-sonnet-4.6:thinking,138,20.3,1.4,80,18.8,2.5,97,96.9
google/gemini-2.0-flash-001,138,81.9,9.4,80,15.0,1.2,97,94.8
google/gemini-2.5-flash,138,23.9,4.3,80,13.8,0.0,97,95.9
google/gemini-3-flash-preview,138,28.3,4.3,80,32.5,2.5,97,97.9
google/gemini-3-flash-preview:thinking,138,22.5,4.3,80,31.2,1.2,97,99.0
google/gemma-3-27b-it,138,89.9,23.2,80,32.5,0.0,97,91.8
google/gemma-4-31b-it,138,28.3,2.9,80,16.2,0.0,97,99.0
openai/gpt-3.5-turbo,138,77.5,7.2,80,11.2,0.0,97,92.8
openai/gpt-4-turbo,138,66.7,5.1,80,21.2,0.0,97,94.8
openai/gpt-4.1,138,26.8,0.0,80,1.2,0.0,97,94.8
openai/gpt-4o-2024-05-13,138,66.7,4.3,80,25.0,1.2,97,97.9
openai/gpt-4o-2024-11-20,138,39.1,4.3,80,11.2,0.0,97,95.9
openai/gpt-5-chat,138,37.0,3.6,80,12.5,2.5,97,99.0
openai/gpt-5.3-chat,138,38.4,1.4,80,12.5,1.2,97,96.9
openai/gpt-5.5:thinking,138,66.7,2.9,80,25.0,1.2,97,97.9
qwen/qwen3.6-plus,138,19.6,1.4,80,15.0,1.2,97,95.9
x-ai/grok-4.20,138,34.1,3.6,80,15.0,0.0,97,95.9
TOTAL,3036,43.9,4.3,1759,17.2,0.9,2134,96.1
